23/10/2023 20:13:28 - 0039:	 - train_loss: 0.995627:	 - test_loss: 0.998252:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:13:38 - 0040:	 - train_loss: 0.995801:	 - test_loss: 0.998252:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:13:49 - 0041:	 - train_loss: 0.995451:	 - test_loss: 0.998252:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:13:59 - 0042:	 - train_loss: 0.995138:	 - test_loss: 0.998252:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:14:10 - 0043:	 - train_loss: 0.995226:	 - test_loss: 0.998252:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:14:20 - 0044:	 - train_loss: 0.995744:	 - test_loss: 0.998252:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:14:31 - 0045:	 - train_loss: 0.995860:	 - test_loss: 0.998252:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:14:41 - 0046:	 - train_loss: 0.994765:	 - test_loss: 0.998252:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:14:52 - 0047:	 - train_loss: 0.996092:	 - test_loss: 0.998252:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:15:02 - 0048:	 - train_loss: 0.995907:	 - test_loss: 0.998252:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:15:13 - 0049:	 - train_loss: 0.995396:	 - test_loss: 0.998252:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:15:23 - 0050:	 - train_loss: 0.995588:	 - test_loss: 0.998252:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:15:34 - 0051:	 - train_loss: 0.996406:	 - test_loss: 0.998252:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:15:44 - 0052:	 - train_loss: 0.995753:	 - test_loss: 0.998251:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:15:55 - 0053:	 - train_loss: 0.995902:	 - test_loss: 0.998251:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:16:05 - 0054:	 - train_loss: 0.995941:	 - test_loss: 0.998251:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:16:16 - 0055:	 - train_loss: 0.996286:	 - test_loss: 0.998251:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:16:26 - 0056:	 - train_loss: 0.995843:	 - test_loss: 0.998251:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:16:37 - 0057:	 - train_loss: 0.996191:	 - test_loss: 0.998251:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:16:47 - 0058:	 - train_loss: 0.994820:	 - test_loss: 0.998251:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:16:58 - 0059:	 - train_loss: 0.995123:	 - test_loss: 0.998251:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:17:08 - 0060:	 - train_loss: 0.995842:	 - test_loss: 0.998251:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:17:19 - 0061:	 - train_loss: 0.995890:	 - test_loss: 0.998248:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:17:29 - 0062:	 - train_loss: 0.995283:	 - test_loss: 0.998248:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
